"number","date","name","vertical","sub_vertical","location","investor_name","investment_type","usd","remarks"
190,"04/04/2017","ElastiRun","Technology","App based Logistics & Distribution platform","Pune","Kalaari Capital, Norwest Venture Partners","Private Equity",7e+06,NA
191,"04/04/2017","Trukky","Consumer Internet","Online Truck Aggregator & Booking platform","Ahmedabad","Keyur Joshi, Pavan Bakeri","Seed Funding",5e+05,NA
192,"04/04/2017","Konsult App","Consumer Internet","App based Doctor Consulting platform","New Delhi","Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others","Seed Funding",5e+05,NA
193,"05/04/2017","Credit Sudhaar","Consumer Internet","Credit Score Improvement platform","Mumbai","Deepak Kulkarni, Sandeep Pangal","Seed Funding",NA,NA
194,"05/04/2017","Fingerlix","Consumer Internet","Food Delivery Platform","Mumbai","Zephyr Peacock India","Private Equity",3e+06,NA
195,"05/04/2017","DataWeave","Technology","Business Intelligence Solutions","Bangalore","FreakOut Group, Blume Ventures, Herb Madan, WaterBridge Ventures","Private Equity",NA,NA
196,"06/04/2017","Medwell Ventures","Healthcare","Home-Based Healthcare provider","Bangalore","Mahindra Partners, Eight Roads Ventures, F-Prime Capital Partners","Private Equity",2.1e+07,NA
197,"06/04/2017","Mech Mocha","Consumer Internet","Mobile gaming startup","Bangalore","Accel Partners, Shunwei Capital","Private Equity",5e+06,NA
198,"07/04/2017","Startup Buddy","Consumer Internet","Startup Support Platform","Gurgaon","YouWeCan Ventures,","Seed Funding",NA,NA
199,"07/04/2017","QorQI","Healthcare","Online Healthcare provider","Noida","Paytm","Seed Funding",NA,NA
200,"07/04/2017","Twenty Two Motors","Technology","Smart Scooter manufacturer","Gurgaon","Ishwar Singh,Farhaan Shabbir","Seed Funding",NA,NA
201,"07/04/2017","PharmEasy","eCommerce","Online Pharmacy","Mumbai","Bessemer Venture Partners, Orios Venture Partners, Trifecta Capital,","Private Equity",1.8e+07,NA
202,"08/04/2017","WonderChef","eCommerce","Online marketplace for kitchen products","Mumbai","Labruyere Eberlé","Private Equity",NA,NA
203,"08/04/2017","FastFox","Consumer Internet","Online rental discovery platform","Gurgaon","Lightspeed India Partners, Blume Ventures, CyberAgent Ventures, GrowX Ventures, IMJ Investment Partners","Private Equity",4600000,NA
204,"10/04/2017","Omnify","Technology","SaaS platform for SMEs","Bangalore","Rajan Anandan, L.D Sharma, Saurabh Arora","Seed Funding",150000,NA
205,"10/04/2017","Capital Float","Consumer Internet","Online Lending Platform for SME","Bangalore","Mahindra and Mahindra Financial Services","Private Equity",2300000,NA
206,"11/04/2017","Ninjacart","eCommerce","B2B agri-marketing platform","Bangalore","Accel Partners, Nandan Nilekani’s NRJN Trust, Mistletoe, Qualcomm Ventures, M&S Partners","Private Equity",5500000,NA
207,"11/04/2017","MergerWare","Technology","Software solutions for M&As","Bangalore","Philippe Bouchet","Seed Funding",1e+05,NA
208,"11/04/2017","Sports Flashes","Consumer Internet","Online Sports portal & Mobile app","New Delhi","Sushil Kumar, Sandeep Singh","Seed Funding",NA,NA
209,"12/04/2017","Clovia","eCommerce","Online lingerie & Sleepwear etailer","New Delhi","Ivycap Ventures Advisors, Singularity Ventures and Ravi Dhariwal","Private Equity",4e+06,NA
210,"12/04/2017","Emiza","Logistics","Third Party Logistics provider","Mumbai","Mayfield, Nishant Rao, Dileep Nath","Private Equity",4500000,NA
211,"12/04/2017","HackerEarth","Consumer Internet","Online Skill Assessment Platform","Bangalore","DHI Group Inc, Prime Venture Partners, Beenext, Beenos, Digital Garage, BizReach","Private Equity",4500000,NA
212,"12/04/2017","Squadrun","Technology","Software-As-a-Service Platform","Noida","Blume Ventures, Contrarian Capital, 91springboard, Emergent Ventures, Abstract Ventures, Anthill Ventures, Axilor Ventures","Private Equity",2100000,NA
213,"12/04/2017","Tinmen","Consumer Internet","Food Delivery Platform","Hyderabad","MAPE Advisory Group, R Ramaraj, Corvus Ventures","Seed Funding",NA,NA
214,"12/04/2017","ScoutMyTrip","Consumer Internet","Online Travel planner","Mumbai","Z Nation Lab","Seed Funding",NA,NA
215,"13/04/2017","SafetyKart","eCommerce","Safety & Hygiene Products etailer","Gurgaon","Redcliffe Capital","Private Equity",NA,NA
216,"13/04/2017","WeAreHolidays","Consumer Internet","Travel Packages & Planner marketplace","Gurgaon","Urrshila Kerkar,","Private Equity",7700000,NA
217,"14/04/2017","Ola Cabs","Consumer Internet","Cab Aggregator App","Bangalore","SIMI Pacific Pte","Private Equity",2.6e+08,NA
218,"15/04/2017","Myly","Consumer Internet","Mobile App for Schools","Jaipur","mall Industries Development Bank of India (SIDBI)","Seed Funding",310000,NA
219,"17/04/2017","CrediHealth","Consumer Internet","Online Medical Assistance platform","Gurgaon","Tolaram Inc, Mountain Pine Capital","Private Equity",1500000,NA
220,"17/04/2017","Navia Life Care","Technology","Health Technology platform","New Delhi","Benori Ventures LLP","Seed Funding",NA,NA
221,"17/04/2017","Raw Pressery","Food & Beverages","Raw Pressed Juices manufacturer","Mumbai","Jacqueline Fernandez","Seed Funding",NA,NA
222,"17/04/2017","Snackible","Food & Beverages","Healthy Snacks manufacturer","Mumbai","Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair","Seed Funding",175000,NA
223,"17/04/2017","Be U Salons","Consumer Internet","Online Salon discovery & Booking Services","New Delhi","Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra","Seed Funding",620000,NA
224,"17/04/2017","Simulanis","Consumer Internet","eLearning & Skills Development plat","New Delhi","Village Capital","Seed Funding",NA,NA
225,"17/04/2017","LendingKart","Consumer Internet","Lending platform for small businesses","Ahmedabad","Anicut Capital","Private Equity",4650000,NA
226,"18/04/2017","Innefu Security Consulting","Technology","Cyber Security solutions using AI","New Delhi","IndiaNivesh Venture Capital Fund","Private Equity",2e+06,NA
227,"18/04/2017","Whodat","Technology","Markerless AR platform","Bangalore","Ideaspring Capital","Private Equity",6e+05,NA
228,"18/04/2017","Absentia VR","Technology","Virtual Reality Startup","Bangalore","Exfinity Venture Partners","Private Equity",1250000,NA
229,"19/04/2017","IOTrek","Technology","IoT Platform for Bus","New Delhi","Undisclosed Investor","Seed Funding",155000,NA
230,"20/04/2017","HolaChef","Consumer Internet","Online Food Delivery","Mumbai","SIDBI Venture Capital Ltd, Kalaari Capital","Private Equity",3e+06,NA
231,"20/04/2017","Wooplr","eCommerce","Social Commerce  Fashion platform","Bangalore","Ankit Nagori","Private Equity",NA,NA
232,"21/04/2017","Video Ken","Consumer Internet","Video Based Collaborative Learning","Bangalore","Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi","Seed Funding",1e+06,NA
233,"24/04/2017","Faasos","Food & Beverage","QSR chain and online food delivery","Pune","Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments","Private Equity",6300000,NA
234,"24/04/2017","Oyo Rooms","Consumer Internet","Branded Budget Hotels Aggregator","Gurgaon","SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners","Private Equity",2.5e+08,NA
235,"24/04/2017","Toppr","Consumer Internet","Learning mobile app for students","Mumbai","WGG International","Private Equity",3200000,NA
236,"24/04/2017","Niramai","Healthcare","Breast Cancer Screening Solutions","Bangalore","pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal","Seed Funding",NA,NA
237,"25/04/2017","The Office Pass","Consumer Internet","CoWorking Spaces booking platform","Gurgaon","Arun Tadanki, Aditya Verma","Seed Funding",245000,NA
238,"25/04/2017","UrbanClap","Consumer Internet","Mobile Services Marketplace","Gurgaon","Trifecta Capital","Private Equity",3100000,NA
239,"26/04/2017","Awfis","Consumer Internet","Collaborative co-Working Spaces","Mumbai","Sequoia India","Private Equity",2e+07,NA
240,"26/04/2017","Myra","Consumer Internet","Online Pharmacy","Bangalore","Times Internet,Matrix Partners","Private Equity",NA,NA
241,"26/04/2017","Flytxt","Technology","Customer data analytics software","Mumbai","DAH Beteiligungs GmbH","Private Equity",1.1e+07,NA
242,"26/04/2017","Howdy Ventures","Consumer Internet","Public and Private Events creation app","Chennai","S. Xavier Britto","Seed Funding",1500000,NA
243,"26/04/2017","StalkBuyLove","eCommerce","Online fashion marketplace","New Delhi","Trifecta Capital","Private Equity",1e+06,NA
244,"26/04/2017","ZipGo","Consumer Internet","Bus Pooling services platform","Bangalore","Orios Ventures Partners, Team Builder Ventures, Omidyar Networks","Private Equity",NA,NA
245,"27/04/2017","Scootsy","Consumer Internet","On-Demand Food Delivery","Mumbai","Agnus Capital, Khattar Holdings","Private Equity",3600000,NA
246,"27/04/2017","Autobix","Technology","Software Solutions for Auto Dealership","Pune","GardX International","Seed Funding",NA,NA
247,"27/04/2017","eShiksha","Technology","Education Institution Management Solutions","Jaipur","Cross Border Angels & Experts","Seed Funding",NA,NA
248,"27/04/2017","iNurture","Consumer Internet","Online Educational courses","Bangalore","BlackSoil Capital Pvt. Ltd","Private Equity",1500000,NA
249,"28/04/2017","Sepalika","Consumer Internet","Healthcare related content platform","New Delhi","Accel Partners","Seed Funding",750000,NA
250,"28/04/2017","Mintwalk","Consumer Internet","Financial advisory mobile app","Mumbai","Poshika Financial Ecosystem","Seed Funding",NA,NA
251,"29/04/2017","Qriyo","Consumer Internet","Tutor Discovery & Booking platform","Jaipur","NB Ventures","Private Equity",NA,NA
252,"01/03/2017","Ola","Consumer Internet","App based cab aggregator","Bangalore","SoftBank Group Corp","Private Equity",3.3e+08,NA
253,"01/03/2017","Belong","Consumer Internet","Online Jon Portal","Bangalore","Sequoia Capital India","Private Equity",1e+07,NA
254,"01/03/2017","Seenit","Consumer Internet","AI based Fashion Search Portal","Kolkata","Calcutta Angels Network (CAN), Augment Ventures","Seed Funding",NA,NA
255,"01/03/2017","Paalak","ECommerce","Fresh Produce Selling portal","New Delhi","Vishwadeep Bajaj, Harsh Kundra, Nandkumar Rane, LN Buddharaju, Anupam Tyagi","Seed Funding",NA,NA
256,"02/03/2017","Celes Care","Consumer Internet","Women Healthcare & Information portal","Hyderabad","Ventureast, Endiya Partners, Eight Roads Ventures, F-Prime Capital Partners","Private Equity",1500000,NA
257,"02/03/2017","Karomi","Technology","Packaging Artwork Management software","Chennai","Ideaspring Capital","Seed Funding",5e+05,NA
258,"02/03/2017","Red Carpet","Consumer Internet","Micro Lending platform","Gurgaon","Lightspeed Venture Partners","Private Equity",2500000,NA
259,"02/03/2017","Kreate Konnect","Technology","End-to-End Seller e-commerce solutions Provider","Vadodara","Langoor","Seed Funding",NA,NA
260,"02/03/2017","CreditMantri","Consumer Internet","Online Credit score & lending platform","Chennai","Quona Capital","Private Equity",7600000,NA
261,"03/03/2017","Lets Endorse","Consumer Internet","Online Ecosystem of social innovators","Bangalore","Chandigarh Angels Network, Social Alpha and other unnamed angel investors","Seed Funding",NA,NA
262,"03/03/2017","Tydy","Technology","Employee Onboarding and Engagement platform","Bangalore","Bhupen Shah, Jayesh Parekh, Sanjay Sathe","Seed Funding",275000,NA
263,"03/03/2017","Nactus","Consumer Internet","Professional Tutors discovery & booking mobile app","Jaipur","Sandeep Aggarwal, Gautam Chhaochharia, R Balachandar","Seed Funding",NA,NA
264,"03/03/2017","Oho Shop","Technology","eCommerce Mobile App Builder","Ahmedabad","Bennett, Coleman and Company Ltd","Private Equity",6700000,NA
265,"03/03/2017","Emojifi","Consumer Internet","Mobile App for live emoji","Hyderabad","Undisclosed angel investors","Seed Funding",NA,NA
266,"03/03/2017","Paytm Marketplace","ECommerce","ECommerce Marketplace","Bangalore","Alibaba","Private Equity",2e+08,NA
267,"04/03/2017","iGenetics","Healthcare","Health Diagnostic Solutions","Mumbai","CDC Group Plc","Private Equity",19500000,NA
268,"06/03/2017","Juno Clinic","Consumer Internet","Online Counseling Platform","Mumbai","Atul Nishar","Seed Funding",1200000,NA
269,"06/03/2017","Summerlabel","Consumer Internet","Fashion and Lifestyle discovery platform","Gurgaon","Aneesh Seth, Tushar Mittal","Seed Funding",150000,NA
270,"06/03/2017","PickMe","Consumer Internet","Gadget Insurance & Repair Services platform","Mumbai","SIDBI Venture Capital Fund","Private Equity",1790000,NA
271,"07/03/2017","Agrostar","Technology","Direct-to-Farmer Mobile-Based Retail platform","Pune","Accel Partners","Private Equity",1e+07,NA
272,"07/03/2017","Zapr","Technology","DSP, TV Analytics & Cross-Platform advertising","Bangalore","Star India Pvt Ltd","Private Equity",1e+07,NA
273,"07/03/2017","Data Resolve","Technology","Cyber Security Solutions","Noida","IDFC Parampara Early Stage Opportunities Fund","Private Equity",1e+06,NA
274,"07/03/2017","Book Servicing","Consumer Internet","Online Vehicle Services Booking platform","New Delhi","National Science and Technology Entrepreneurship Development Board","Seed Funding",30000,NA
275,"07/03/2017","Blowhorn","Consumer Internet","Intra-City Logistics provider","Bangalore","IDG Ventures India, Michael & Susan Dell Foundation, Draper Associates, Unitus Seed Fund","Private Equity",3650000,NA
276,"08/03/2017","Rivigo","Logistics","Technology Enabled Logistics Company","Gurgaon","Private Sector Banks (Debt Funding)","Private Equity",1.5e+07,NA
277,"08/03/2017","PipeCandy","Technology","Intelligent Sales Prospecting Platform","Chennai","IDG ventures, Axilor Ventures, Emergent Ventures, Indian Angel Network","Seed Funding",1100000,NA
278,"08/03/2017","Supr Daily","Consumer Internet","Subscription based Home Delivery Platform","Mumbai","Y Combinator","Seed Funding",120000,NA
279,"08/03/2017","Parentune","Consumer Internet","Online Community for Parents","Gurgaon","Kae Capital, SEGNEL Ventures","Private Equity",NA,NA
280,"09/03/2017","AppBrowzer","Consumer Internet","Instant Mobile Apps Store","Bangalore","Deepak Gurnani","Seed Funding",5e+05,NA
281,"09/03/2017","MagicBricks","Consumer Internet","Online Real Estate Portal","Mumbai","Times Internet Ltd","Private Equity",4500000,NA
282,"10/03/2017","PeeBuddy","Healthcare","Female Hygiene product manufacturer","New Delhi","Indian Angel Network","Seed Funding",443000,NA
283,"10/03/2017","iOrderFresh","ECommerce","Online fresh fruits and grocery store","New Delhi","Singapore Angel Network","Seed Funding",NA,NA
284,"10/03/2017","Lavelle Networks","Technology","SDN Solutions","Bangalore","Ideaspring Capital","Seed Funding",6e+05,NA
285,"10/03/2017","PropertyShare","Consumer Internet","Fractional Proerty Ownership & Rental platform","Bangalore","Asuka, Pravega Ventures, BEENEXT","Seed Funding",NA,NA
286,"14/03/2017","MyDermacy","Consumer Internet","Online Dermatology consultation platform","New Delhi","Cyber Carrier","Private Equity",NA,NA
287,"15/03/2017","LatestOne","eCommerce","Tech Accessories e-tailer","Hyderabad","Florintree, Mathew Cyriac, Chidambaram Palaniappan, Bharat Sheth","Private Equity",3350000,NA
288,"15/03/2017","Frapperz","Consumer Internet","On-demand home services provider","Kolkata","Undisclosed Investor","Seed Funding",1e+05,NA
289,"16/03/2017","mPaani","Consumer Internet","Loyalty rewards app","Mumbai","IDG Ventures, Blume Ventures, Saha Fund,","Private Equity",1350000,NA
290,"16/03/2017","ShilpMIS","Technology","Virtual Reality platform","Surat","Puneet Gupta, Nimitt Desai & Others","Seed Funding",NA,NA
291,"16/03/2017","POPxo","Consumer Internet","Digital Media publication for women","New Delhi","GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh","Private Equity",3100000,NA
292,"16/03/2017","Fitso","Consumer Internet","Fitness Mobile App","Gurgaon","Sujeet Kumar, Bhupender Singh, Yashish Dhaiya","Seed Funding",2e+05,NA
293,"17/03/2017","FarMart","Technology","Farming rental equipment provider","Gurgaon","Indian Angel Network","Seed Funding",NA,NA
294,"21/03/2017","Flipkart","eCommerce","ECommerce Marketplace","Bangalore","Microsoft, eBay, Tencent Holdings","Private Equity",1.4e+09,NA
